title,authors,year,subject,cover_url,filename
The Amber Spyglass,Philip Pullman,1999,fantasy,http://covers.openlibrary.org/b/id/12613246-L.jpg,book_covers\104_The_Amber_Spyglass.jpg
The Lightning Thief,Rick Riordan,2005,fantasy,http://covers.openlibrary.org/b/id/7239831-L.jpg,book_covers\105_The_Lightning_Thief.jpg
A Prisoner in Fairyland,Algernon Blackwood,1913,fantasy,http://covers.openlibrary.org/b/id/2895898-L.jpg,book_covers\106_A_Prisoner_in_Fairyland.jpg
Indian Fairy Tales,"Joseph Jacobs, John D Batten, Gloria Cardew, Joseph JACOBS, Joseph Jacobs, Jacobs, Ed, Joseph, John Dickson Batten, Joseph Joseph Jacobs",1892,fantasy,http://covers.openlibrary.org/b/id/767614-L.jpg,book_covers\107_Indian_Fairy_Tales.jpg
The Nursery Alice,Lewis Carroll,1889,fantasy,http://covers.openlibrary.org/b/id/8596271-L.jpg,book_covers\108_The_Nursery_Alice.jpg
Good Omens,"Neil Gaiman, Terry Pratchett",1990,fantasy,http://covers.openlibrary.org/b/id/10482258-L.jpg,book_covers\109_Good_Omens.jpg
The Blazing World,Margaret Cavendish,2013,fantasy,http://covers.openlibrary.org/b/id/14634246-L.jpg,book_covers\110_The_Blazing_World.jpg
American Gods,Neil Gaiman,2001,fantasy,http://covers.openlibrary.org/b/id/8494659-L.jpg,book_covers\111_American_Gods.jpg
Doctor Doolittle's circus,Hugh Lofting,1924,fantasy,http://covers.openlibrary.org/b/id/9244269-L.jpg,book_covers\112_Doctor_Doolittle's_circus.jpg
The Waste Lands,Stephen King,1991,fantasy,http://covers.openlibrary.org/b/id/8443630-L.jpg,book_covers\113_The_Waste_Lands.jpg
Wizard and Glass,Stephen King,1997,fantasy,http://covers.openlibrary.org/b/id/14657088-L.jpg,book_covers\114_Wizard_and_Glass.jpg
The Eye of the World (The Wheel of Time Book 1),Robert Jordan,1990,fantasy,http://covers.openlibrary.org/b/id/980232-L.jpg,book_covers\115_The_Eye_of_the_World_(The_Wheel_of_Time_Book_1).jpg
Nils Holgerssons underbara resa genom Sverige,Selma Lagerlöf,1907,fantasy,http://covers.openlibrary.org/b/id/5267445-L.jpg,book_covers\116_Nils_Holgerssons_underbara_resa_genom_Sverige.jpg
Dragonflight,Anne McCaffrey,1968,fantasy,http://covers.openlibrary.org/b/id/10306696-L.jpg,book_covers\117_Dragonflight.jpg
The Tombs of Atuan,Ursula K. Le Guin,1971,fantasy,http://covers.openlibrary.org/b/id/6633403-L.jpg,book_covers\118_The_Tombs_of_Atuan.jpg
