title,authors,year,subject,cover_url,filename,doc_id,dominant_color,surrogate_text
The Prairie,James Fenimore Cooper,1800,historical_fiction,http://covers.openlibrary.org/b/id/5578106-L.jpg,book_covers\1007_The_Prairie.jpg,1007,"rgb(180, 152, 128)","The Prairie James Fenimore Cooper historical_fiction 1800 rgb(180, 152, 128)"
La tulipe noire,Alexandre Dumas,1800,historical_fiction,http://covers.openlibrary.org/b/id/14565101-L.jpg,book_covers\1008_La_tulipe_noire.jpg,1008,"rgb(143, 139, 118)","La tulipe noire Alexandre Dumas historical_fiction 1800 rgb(143, 139, 118)"
The Woodlanders,Thomas Hardy,1800,historical_fiction,http://covers.openlibrary.org/b/id/8243078-L.jpg,book_covers\1009_The_Woodlanders.jpg,1009,"rgb(222, 53, 48)","The Woodlanders Thomas Hardy historical_fiction 1800 rgb(222, 53, 48)"
The moon and sixpence,William Somerset Maugham,1919,historical_fiction,http://covers.openlibrary.org/b/id/314604-L.jpg,book_covers\1010_The_moon_and_sixpence.jpg,1010,"rgb(129, 107, 76)","The moon and sixpence William Somerset Maugham historical_fiction 1919 rgb(129, 107, 76)"
Rob Roy,Sir Walter Scott,1817,historical_fiction,http://covers.openlibrary.org/b/id/8240340-L.jpg,book_covers\1011_Rob_Roy.jpg,1011,"rgb(116, 51, 6)","Rob Roy Sir Walter Scott historical_fiction 1817 rgb(116, 51, 6)"
The pioneers,James Fenimore Cooper,1800,historical_fiction,http://covers.openlibrary.org/b/id/9000512-L.jpg,book_covers\1012_The_pioneers.jpg,1012,"rgb(118, 72, 33)","The pioneers James Fenimore Cooper historical_fiction 1800 rgb(118, 72, 33)"
White Fang,Jack London,1905,historical_fiction,http://covers.openlibrary.org/b/id/8236920-L.jpg,book_covers\1013_White_Fang.jpg,1013,"rgb(111, 79, 26)","White Fang Jack London historical_fiction 1905 rgb(111, 79, 26)"
The Jungle,Upton Sinclair,1905,historical_fiction,http://covers.openlibrary.org/b/id/8231790-L.jpg,book_covers\1014_The_Jungle.jpg,1014,"rgb(75, 67, 20)","The Jungle Upton Sinclair historical_fiction 1905 rgb(75, 67, 20)"
"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,1872,historical_fiction,http://covers.openlibrary.org/b/id/902186-L.jpg,"book_covers\1015_Under_the_Greenwood_Tree_or,_The_Mellstock_quire.jpg",1015,"rgb(147, 142, 99)","Under the Greenwood Tree or, The Mellstock quire Thomas Hardy historical_fiction 1872 rgb(147, 142, 99)"
Kidnapped,Robert Louis Stevenson,1886,historical_fiction,http://covers.openlibrary.org/b/id/8267822-L.jpg,book_covers\1016_Kidnapped.jpg,1016,"rgb(234, 226, 211)","Kidnapped Robert Louis Stevenson historical_fiction 1886 rgb(234, 226, 211)"
